CloneID,SBK1,SBK2,SBK3,SAK1,SAK2,SAK4
100093669,1,0,NA,0,NA,NA
100093709,1,0,NA,0,NA,NA
100093727,0,1,NA,1,NA,NA
100093733,1,NA,NA,0,0,0
100093786,0,1,NA,1,NA,NA
100093816,0,0,NA,1,1,NA
100093829,0,1,NA,2,NA,0
100093854,0,1,NA,2,NA,NA
100093859,0,0,NA,1,NA,NA
100093893,1,0,NA,0,NA,NA
100093898,1,0,NA,0,NA,NA
100093951,1,0,NA,0,0,NA
100094060,1,0,NA,0,NA,NA
100094079,1,0,NA,0,NA,NA
100094097,1,0,NA,0,NA,NA
100094117,0,1,NA,1,NA,NA
100094186,1,0,NA,1,NA,NA
100094205,1,0,NA,0,NA,0
100094236,0,1,NA,0,NA,NA
100094286,1,0,NA,0,NA,NA
100094301,1,0,NA,0,NA,0
100094345,0,1,NA,1,NA,NA
100094353,1,0,NA,0,NA,NA
100094388,1,0,NA,0,NA,NA
100094393,1,0,NA,0,NA,NA
100094434,0,1,NA,1,0,1
100094440,0,1,NA,1,NA,NA
100094465,1,0,NA,0,NA,NA
100094513,1,0,NA,0,NA,NA
100094520,1,0,NA,0,NA,NA
100094531,1,0,NA,0,NA,NA
100094543,1,0,NA,0,NA,NA
100094549,1,0,NA,0,NA,NA
100094585,0,1,NA,1,NA,NA
100094598,0,1,NA,1,NA,NA
100094630,0,1,NA,1,NA,NA
100094725,1,0,NA,1,NA,NA
100094768,1,0,NA,0,NA,NA
100094809,1,0,NA,0,NA,NA
100094821,1,0,NA,0,0,NA
100094881,1,0,NA,0,NA,NA
100094886,1,0,NA,0,0,NA
100094896,1,0,NA,0,NA,NA
100094924,1,0,NA,0,NA,NA
100094939,1,0,NA,0,NA,NA
100094974,1,0,NA,0,NA,NA
100094993,1,1,NA,2,NA,0
100094995,0,1,NA,1,NA,NA
100094996,1,1,0,1,NA,NA
100095002,0,1,NA,1,NA,NA
100095030,1,0,NA,1,NA,NA
100095069,0,0,1,0,NA,NA
100095123,0,1,NA,1,NA,NA
100095144,0,NA,NA,1,1,NA
100095177,0,0,1,0,NA,0
100095179,1,0,NA,0,NA,NA
100095257,1,0,NA,0,NA,NA
100095325,1,1,0,1,NA,NA
100095358,1,0,NA,0,NA,NA
100095389,1,0,NA,0,NA,NA
100095403,1,0,NA,0,NA,0
100095493,1,1,0,1,NA,NA
100095511,1,1,NA,0,NA,NA
100095541,0,1,NA,1,NA,NA
100095549,0,1,NA,1,NA,NA
100095567,1,0,NA,0,NA,NA
100095592,1,NA,NA,0,0,NA
100095611,1,1,0,1,NA,NA
100095621,0,1,NA,1,NA,NA
100095749,1,0,NA,0,NA,NA
100095795,0,1,NA,1,NA,NA
100095799,1,2,NA,0,NA,NA
100095863,0,1,NA,1,NA,NA
100095865,0,1,NA,1,NA,NA
100095879,1,1,0,1,NA,NA
100095895,0,1,NA,1,NA,NA
100095904,0,1,NA,1,NA,NA
100095955,0,1,NA,1,NA,NA
100095957,1,0,NA,0,NA,NA
100095983,1,0,NA,0,NA,NA
100096043,1,0,NA,0,NA,NA
100096149,0,1,NA,1,NA,NA
100096219,0,0,NA,1,NA,NA
100096220,1,0,NA,0,NA,0
100096246,1,0,NA,0,NA,NA
100096308,1,0,NA,0,NA,NA
100096310,0,1,NA,1,NA,NA
100096311,0,1,NA,1,NA,NA
100096366,0,0,1,0,NA,NA
100096368,1,0,NA,1,NA,NA
100096430,1,0,NA,0,NA,NA
100096435,0,1,NA,1,NA,1
100096444,0,1,NA,1,NA,NA
100096463,0,1,NA,1,NA,NA
100096494,0,0,NA,1,NA,NA
100096533,1,0,NA,0,NA,NA
100096537,1,1,0,1,NA,NA
100096570,0,1,NA,1,NA,NA
100096595,1,0,NA,1,NA,NA
100096629,0,1,NA,1,NA,NA
100096647,1,1,NA,0,NA,NA
100096697,1,0,NA,0,NA,NA
100096739,1,0,NA,0,0,NA
100096742,0,1,NA,0,NA,NA
100096759,1,0,NA,0,NA,NA
100096826,2,0,NA,1,NA,NA
100096887,1,0,NA,0,NA,NA
100096925,0,1,NA,1,NA,NA
100096933,0,1,NA,1,NA,NA
100096988,0,1,NA,1,NA,NA
100096999,1,0,NA,0,NA,NA
100097064,0,1,1,1,NA,NA
100097091,1,0,0,0,NA,NA
100097104,0,0,1,0,NA,NA
100097116,0,0,NA,1,NA,NA
100097155,0,1,NA,1,NA,NA
100097212,1,1,0,1,NA,NA
100097322,1,0,NA,0,NA,NA
100097327,0,NA,1,1,NA,NA
100097399,1,0,NA,0,NA,NA
100097401,1,0,NA,0,NA,NA
100097433,0,1,NA,1,NA,NA
100097439,1,0,NA,1,NA,NA
100097442,1,0,NA,0,NA,NA
100097444,0,1,NA,1,1,1
100097484,0,1,NA,1,NA,NA
100097487,1,0,NA,0,NA,NA
100097491,1,0,NA,0,NA,NA
100097499,1,0,0,0,NA,NA
100097520,1,0,NA,0,NA,NA
100097534,1,1,0,1,NA,NA
100097605,1,0,NA,0,NA,NA
100097607,1,1,NA,0,NA,NA
100097616,1,0,NA,0,NA,NA
100097636,1,0,NA,0,NA,NA
100097656,1,0,NA,0,NA,NA
100097669,0,0,NA,1,NA,NA
100097692,1,0,NA,0,NA,NA
100097704,1,0,NA,0,NA,NA
100097716,1,0,NA,0,NA,0
100097727,1,0,NA,0,NA,0
100097729,0,1,NA,1,NA,NA
100097746,1,0,NA,0,NA,NA
100097777,1,0,NA,0,NA,NA
100097819,1,0,NA,0,NA,NA
100097823,1,0,NA,0,NA,NA
100097825,1,1,0,1,NA,NA
100097841,0,1,NA,0,NA,0
100097848,0,1,NA,1,NA,NA
100097879,1,0,NA,0,NA,NA
100097883,1,1,0,1,NA,NA
100097910,1,0,NA,2,NA,NA
100097921,0,1,0,1,NA,NA
100097946,1,1,0,1,NA,NA
100097960,1,NA,NA,0,NA,0
100097964,1,0,NA,0,NA,0
100098103,1,0,NA,0,0,NA
100098127,0,0,NA,1,NA,NA
100098129,0,1,NA,0,0,0
100098141,1,1,NA,2,NA,0
100098156,0,1,NA,1,NA,NA
100098158,1,0,0,0,NA,NA
100098163,0,0,NA,1,NA,NA
100098168,0,1,NA,1,NA,NA
100098178,0,0,NA,1,1,NA
100098186,1,0,NA,0,NA,NA
100098187,0,0,1,0,NA,NA
100098192,1,0,NA,0,NA,NA
100098217,1,0,NA,0,NA,0
100098219,0,1,NA,1,NA,NA
100098234,1,0,NA,0,NA,NA
100098238,1,0,NA,0,NA,NA
100098252,1,0,NA,0,NA,NA
100098254,1,0,NA,0,NA,NA
100098256,1,0,NA,0,NA,NA
100098269,1,0,NA,0,NA,NA
100098283,1,1,NA,0,NA,0
100098292,1,0,NA,0,NA,NA
100098301,1,0,NA,0,NA,NA
100098303,0,1,NA,0,NA,NA
100098319,0,1,NA,0,NA,1
100098343,0,1,NA,1,NA,NA
100098347,1,0,NA,1,NA,NA
100098360,1,0,NA,0,NA,NA
100098380,1,0,NA,0,NA,0
100098390,0,1,NA,1,NA,NA
100098398,0,1,NA,1,NA,NA
100098400,1,0,NA,0,0,NA
100098405,1,0,NA,0,NA,NA
100098423,1,0,NA,0,NA,NA
100098435,0,0,NA,1,NA,NA
100098488,1,NA,NA,0,NA,0
100098491,0,1,NA,1,NA,NA
100098556,1,0,NA,0,NA,NA
100098590,1,0,NA,0,NA,NA
100098614,1,0,NA,0,NA,NA
100098624,1,0,NA,0,NA,NA
100098647,0,1,NA,1,NA,NA
100098654,1,0,NA,0,NA,NA
100098680,0,0,1,0,0,0
100098694,0,1,NA,0,NA,NA
100098697,1,1,0,1,NA,NA
100098699,0,0,1,0,NA,NA
100098719,1,0,NA,0,NA,NA
100098750,0,1,NA,1,NA,NA
100098795,1,0,NA,0,NA,NA
100098808,1,0,NA,0,NA,NA
100098845,1,0,NA,0,NA,NA
100098851,0,0,1,0,NA,0
100098896,1,1,0,1,1,1
100098914,0,1,NA,1,NA,NA
100098943,0,1,NA,1,NA,NA
100098966,0,1,NA,1,NA,NA
100098984,1,1,0,1,NA,NA
100098993,1,1,0,NA,NA,1
100099000,1,1,0,1,NA,NA
100099009,1,0,NA,0,NA,NA
100099019,1,0,NA,0,NA,NA
100099030,1,0,NA,0,NA,NA
100099054,1,0,NA,0,NA,NA
100099058,0,1,NA,1,NA,NA
100099059,1,0,NA,0,NA,NA
100099070,0,1,NA,1,NA,NA
100099102,0,1,NA,0,NA,NA
100099113,1,1,NA,0,NA,NA
100099124,1,2,NA,0,NA,NA
100099140,1,0,NA,0,NA,NA
100099147,1,0,NA,0,NA,NA
100099195,1,0,NA,0,NA,NA
100099198,0,1,NA,1,NA,NA
100099219,1,0,NA,0,NA,NA
100099221,0,0,0,1,NA,NA
100099241,1,0,NA,0,NA,0
100099243,1,0,NA,0,NA,NA
100099246,0,0,NA,1,NA,NA
100099248,0,2,1,0,NA,NA
100099254,0,1,NA,1,NA,NA
100099255,1,0,NA,0,NA,0
100099256,1,0,NA,0,NA,NA
100099261,0,1,NA,1,NA,NA
100099274,0,1,NA,1,NA,NA
100099290,1,0,NA,0,NA,0
100099299,1,1,0,1,NA,NA
100099322,0,1,NA,1,NA,NA
100099328,1,0,NA,0,0,NA
100099342,1,0,NA,0,NA,NA
100099361,0,1,NA,1,NA,NA
100099415,1,0,NA,0,NA,NA
100099433,0,0,1,0,NA,0
100099434,1,0,NA,0,NA,NA
100099441,1,0,NA,0,NA,NA
100099443,1,1,0,1,NA,NA
100099448,1,0,NA,0,0,NA
100099452,1,NA,NA,0,0,NA
100099461,1,0,NA,0,0,NA
100099462,1,0,NA,0,0,NA
100099466,1,0,NA,0,NA,NA
100099484,1,NA,NA,0,NA,0
100099488,1,0,NA,0,NA,NA
100099490,1,0,NA,0,NA,NA
100099500,1,0,NA,0,NA,0
100099505,0,0,NA,1,NA,NA
100099514,1,0,NA,0,NA,NA
100099520,1,0,NA,0,NA,NA
100099547,1,1,NA,1,1,0
100099562,0,0,NA,1,NA,NA
100099564,1,0,NA,0,NA,NA
100099565,1,0,NA,0,NA,NA
100099568,1,0,NA,0,NA,0
100099580,1,0,NA,0,NA,NA
100099583,0,1,NA,1,NA,NA
100099585,0,1,NA,1,NA,NA
100099606,1,0,NA,0,NA,0
100099608,1,0,NA,0,NA,NA
100099614,0,NA,NA,0,0,1
100099617,0,1,NA,1,1,NA
100099634,1,0,NA,0,NA,NA
100099649,1,1,NA,0,NA,NA
100099670,1,0,NA,0,NA,NA
100099673,0,1,NA,1,NA,NA
100099682,1,0,NA,0,NA,0
100099697,1,0,NA,0,NA,NA
100099730,1,NA,NA,0,0,NA
100099745,1,0,NA,0,NA,NA
100099752,0,1,NA,0,NA,NA
100099787,0,1,NA,1,NA,NA
100099789,1,0,NA,0,0,NA
100099811,1,0,NA,0,NA,NA
100099818,1,0,NA,0,0,0
100099822,1,0,NA,0,NA,NA
100099830,0,1,NA,1,NA,NA
100099835,1,0,NA,0,NA,NA
100099840,1,0,NA,0,NA,NA
100099843,1,1,0,1,NA,NA
100099860,0,1,NA,1,NA,NA
100099908,1,0,NA,0,NA,NA
100099917,1,0,NA,0,NA,NA
100099938,1,0,NA,0,NA,NA
100099940,0,1,NA,0,0,0
100099958,1,0,NA,0,NA,NA
100099962,1,0,NA,0,NA,NA
100099980,0,1,NA,1,NA,NA
100099992,1,0,NA,0,NA,NA
100099999,1,0,NA,0,NA,NA
100100000,1,0,NA,0,NA,NA
100100049,0,0,NA,1,NA,NA
100100056,1,0,NA,0,0,NA
100100059,0,1,NA,1,NA,NA
100100064,0,1,NA,1,NA,NA
100100076,1,0,NA,0,NA,NA
100100089,1,0,NA,0,0,0
100100118,1,0,NA,0,NA,NA
100100120,1,0,NA,0,NA,0
100100126,1,0,NA,0,NA,NA
100100157,0,1,NA,1,NA,NA
100100159,1,0,NA,0,NA,NA
100100162,1,0,NA,0,NA,NA
100100191,0,1,NA,1,NA,NA
100100206,1,1,NA,0,NA,NA
100100208,1,2,NA,0,NA,NA
100100243,1,0,NA,0,NA,NA
100100260,1,0,NA,0,NA,NA
100100275,1,0,NA,0,NA,NA
100100276,1,0,NA,0,NA,NA
100100313,1,NA,NA,0,0,0
100100325,1,1,NA,0,NA,NA
100100367,0,1,NA,1,NA,1
100100372,0,0,1,0,NA,NA
100100390,0,0,NA,1,NA,NA
100100397,1,0,NA,0,NA,NA
100100408,1,0,NA,0,NA,NA
100100418,0,1,NA,0,0,NA
100100424,0,0,NA,1,NA,NA
100100443,1,0,NA,0,0,NA
100100478,1,0,NA,0,NA,NA
100100481,1,0,NA,0,NA,NA
100100499,1,0,NA,0,NA,NA
100100507,1,0,NA,0,NA,NA
100100527,1,1,0,1,NA,NA
100100553,1,0,0,0,NA,NA
100100561,1,0,NA,0,NA,NA
100100592,0,1,NA,1,NA,NA
100100621,1,1,NA,0,NA,NA
100100629,1,0,NA,0,NA,NA
100100636,1,1,0,NA,NA,NA
100100674,1,1,NA,0,NA,NA
100100675,1,0,NA,0,NA,NA
100100687,1,0,NA,0,NA,NA
100100694,1,0,NA,0,NA,NA
100100700,1,1,NA,0,NA,NA
100100701,1,0,NA,0,NA,NA
100100705,1,0,0,0,NA,NA
100100729,1,0,NA,0,NA,NA
100100782,1,0,NA,0,NA,NA
100100791,1,0,NA,0,0,0
100100810,1,0,NA,0,NA,NA
100100815,1,0,NA,0,NA,NA
100100816,1,0,NA,0,NA,NA
100100824,1,0,NA,0,NA,NA
100100846,0,1,NA,1,NA,NA
100100854,1,0,NA,0,NA,NA
100100870,0,1,NA,1,NA,NA
100100882,0,1,NA,1,NA,NA
100100955,1,0,NA,0,NA,NA
100100967,1,0,NA,0,NA,NA
100100970,0,1,NA,1,NA,NA
100100972,0,1,NA,1,NA,NA
100100996,1,0,NA,0,NA,NA
100100999,1,0,NA,0,NA,NA
100101015,0,1,NA,1,NA,NA
100101022,1,0,NA,0,NA,NA
100101024,1,0,NA,0,NA,NA
100101033,1,0,NA,0,NA,NA
100101041,0,1,NA,0,NA,NA
100101054,1,0,NA,0,NA,NA
100101062,1,0,NA,NA,0,NA
100101070,1,0,NA,0,NA,NA
100101129,0,1,NA,0,NA,NA
100101130,1,0,NA,0,NA,NA
100101132,1,0,NA,0,NA,0
100101140,1,0,NA,0,NA,NA
100101180,1,0,NA,0,NA,NA
100101191,1,0,NA,0,NA,NA
100101214,1,0,NA,0,NA,NA
100101225,1,0,NA,0,0,NA
100101228,1,0,NA,0,NA,NA
100101236,1,0,NA,0,NA,NA
100101238,1,0,NA,0,NA,NA
100101254,1,1,0,1,NA,NA
100101312,1,0,NA,0,NA,NA
100101320,1,0,NA,0,NA,NA
100101369,1,1,0,1,NA,NA
100101371,1,0,NA,0,NA,NA
100101393,1,0,NA,0,NA,NA
100101403,1,2,NA,0,NA,0
100101427,1,0,NA,0,NA,NA
100101441,1,0,NA,0,NA,NA
100101446,1,0,NA,0,NA,NA
100101451,1,2,NA,1,0,NA
100101465,1,1,NA,0,NA,0
100101472,1,0,NA,0,NA,NA
100101492,1,0,NA,0,NA,NA
100101508,1,0,0,0,NA,NA
100101515,0,1,NA,1,NA,NA
100101548,1,0,NA,0,NA,NA
100101573,0,2,NA,1,NA,NA
100101585,1,0,NA,0,NA,0
100101589,1,0,NA,0,NA,NA
100101600,1,0,NA,0,NA,NA
100101617,1,0,NA,0,NA,NA
100101629,1,0,NA,0,NA,NA
100101647,0,1,NA,1,NA,NA
100101654,1,0,NA,0,NA,NA
100101671,1,0,NA,0,NA,NA
100101686,1,0,NA,0,NA,NA
100101688,1,1,NA,0,NA,NA
100101695,1,1,0,1,NA,NA
100101697,1,0,NA,0,NA,NA
100101740,1,0,NA,0,NA,NA
100101759,1,1,NA,0,NA,NA
100101783,1,0,NA,0,NA,NA
100101799,1,0,NA,0,NA,0
100101880,1,0,NA,0,NA,NA
100101905,1,0,NA,0,NA,NA
100101922,1,0,NA,0,NA,NA
100101925,1,0,NA,0,NA,NA
100101930,1,0,NA,0,NA,NA
100101937,1,0,NA,0,NA,NA
100101955,1,1,0,1,NA,NA
100101959,1,0,NA,0,NA,NA
100101964,0,1,NA,1,NA,NA
100101994,1,0,NA,0,NA,NA
100102033,1,0,NA,0,NA,NA
100102052,0,1,NA,0,NA,NA
100102064,0,1,NA,1,NA,NA
100102071,1,1,NA,0,NA,NA
100102110,1,0,NA,0,NA,NA
100102116,1,0,NA,0,NA,NA
100102133,1,0,NA,0,NA,NA
100102138,1,0,NA,0,NA,NA
100102143,1,0,NA,0,NA,NA
100102163,0,1,NA,1,NA,NA
100102166,1,0,NA,0,NA,NA
100102178,0,0,1,0,NA,NA
100102182,1,1,NA,2,0,NA
100102183,1,0,NA,0,NA,NA
100102206,1,0,NA,0,NA,NA
100102237,1,0,NA,0,NA,NA
100102254,0,1,1,1,NA,1
100102259,1,0,NA,0,NA,NA
100102262,1,0,NA,0,NA,NA
100102272,1,1,0,1,NA,NA
100102283,1,0,NA,0,NA,0
100102287,1,0,NA,0,NA,NA
100102307,0,1,NA,1,NA,NA
100102318,1,0,NA,0,NA,NA
100102345,1,0,NA,0,NA,NA
100102356,0,1,NA,1,NA,NA
100102374,1,0,NA,0,NA,NA
100102388,0,1,NA,1,NA,NA
100102408,1,0,NA,0,NA,NA
100102441,0,1,NA,1,NA,NA
100102456,0,1,NA,1,NA,NA
100102458,0,1,NA,1,NA,NA
100102475,1,0,NA,0,NA,NA
100102500,1,0,NA,0,NA,NA
100102506,1,0,NA,0,NA,NA
100102509,1,1,NA,0,NA,NA
100102517,1,0,NA,0,NA,NA
100102530,1,1,NA,0,NA,NA
100102539,1,1,NA,0,NA,0
100102554,1,1,NA,0,NA,0
100102557,1,0,NA,0,NA,0
100102575,0,0,1,0,NA,NA
100102586,1,0,NA,0,NA,NA
100102593,1,0,NA,0,NA,NA
100102598,0,1,NA,0,NA,NA
100102599,1,1,0,1,1,NA
100102607,0,0,1,0,NA,NA
100102615,0,1,NA,0,NA,NA
100102619,0,1,NA,1,NA,NA
100102626,1,0,NA,0,NA,NA
100102634,0,0,1,0,0,NA
100102642,1,1,0,1,NA,NA
100102658,1,0,NA,0,NA,NA
100102679,1,0,NA,NA,NA,0
100102685,1,0,NA,0,NA,NA
100102690,1,0,NA,0,NA,NA
100102692,0,1,NA,1,NA,NA
100102720,1,0,NA,0,NA,NA
100102737,0,1,NA,1,NA,NA
100102760,0,1,NA,1,NA,NA
100102780,1,1,0,1,NA,NA
100102783,1,0,NA,0,NA,NA
100102795,0,1,NA,1,NA,NA
100102811,1,0,NA,0,NA,0
100102813,1,0,NA,0,NA,NA
100102845,1,1,0,1,NA,NA
100102847,1,0,NA,1,NA,NA
100102854,1,2,NA,0,NA,NA
100102860,0,0,1,0,NA,NA
100102887,1,0,NA,NA,0,0
100102911,1,0,NA,0,NA,0
100102914,1,0,NA,0,0,NA
100102916,0,1,NA,1,NA,1
100102918,0,1,NA,1,NA,NA
